age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y
47,technician,married,unknown,no,178,yes,no,unknown,6,may,1,-1,0,unknown,no
41,blue-collar,married,secondary,no,946,yes,no,unknown,6,may,1,-1,0,unknown,no
43,blue-collar,married,secondary,no,1335,yes,no,unknown,6,may,2,-1,0,unknown,no
38,management,married,secondary,no,517,yes,no,unknown,6,may,2,-1,0,unknown,no
36,admin.,married,secondary,no,639,yes,no,unknown,6,may,1,-1,0,unknown,no
28,services,single,secondary,no,5090,yes,no,unknown,6,may,3,-1,0,unknown,yes
47,technician,married,unknown,no,2106,yes,no,unknown,6,may,1,-1,0,unknown,no
40,technician,single,unknown,no,-5,yes,no,unknown,6,may,2,-1,0,unknown,no
45,services,married,secondary,no,1259,yes,no,unknown,6,may,1,-1,0,unknown,no
34,blue-collar,married,secondary,no,848,yes,no,unknown,6,may,2,-1,0,unknown,no
40,technician,single,secondary,no,200,yes,no,unknown,6,may,2,-1,0,unknown,no
30,technician,single,unknown,no,-48,yes,no,unknown,6,may,2,-1,0,unknown,no
57,management,married,tertiary,no,2142,yes,no,unknown,6,may,3,-1,0,unknown,no
42,services,divorced,secondary,no,55,yes,no,unknown,6,may,5,-1,0,unknown,no
44,management,married,tertiary,no,105,yes,no,unknown,6,may,2,-1,0,unknown,no
39,blue-collar,married,primary,no,245,yes,no,unknown,7,may,3,-1,0,unknown,no
57,technician,married,unknown,no,1617,yes,no,unknown,7,may,2,-1,0,unknown,no
47,services,married,primary,no,222,yes,no,unknown,7,may,1,-1,0,unknown,no
57,services,married,secondary,no,1,no,no,unknown,7,may,1,-1,0,unknown,no
39,blue-collar,married,primary,no,981,yes,no,unknown,7,may,1,-1,0,unknown,no
37,management,married,tertiary,no,0,yes,no,unknown,7,may,1,-1,0,unknown,no
29,technician,single,tertiary,no,3,yes,no,unknown,7,may,1,-1,0,unknown,no
43,blue-collar,divorced,secondary,no,370,yes,no,unknown,7,may,1,-1,0,unknown,no
33,retired,married,secondary,no,165,no,no,unknown,7,may,1,-1,0,unknown,no
37,unknown,single,unknown,no,414,yes,no,unknown,7,may,1,-1,0,unknown,no
43,blue-collar,married,secondary,no,167,yes,no,unknown,7,may,1,-1,0,unknown,no
37,self-employed,married,tertiary,no,444,yes,no,unknown,7,may,2,-1,0,unknown,no
28,blue-collar,married,secondary,no,225,yes,yes,unknown,7,may,2,-1,0,unknown,no
53,blue-collar,married,secondary,no,732,yes,no,unknown,7,may,2,-1,0,unknown,no
41,blue-collar,married,unknown,no,225,yes,no,unknown,7,may,2,-1,0,unknown,no
34,blue-collar,married,secondary,no,2308,yes,no,unknown,7,may,1,-1,0,unknown,no
37,blue-collar,divorced,primary,no,139,yes,no,unknown,7,may,1,-1,0,unknown,no
48,technician,married,secondary,no,-500,yes,no,unknown,7,may,5,-1,0,unknown,no
40,blue-collar,married,secondary,no,316,yes,no,unknown,7,may,2,-1,0,unknown,no
30,technician,divorced,tertiary,no,-317,yes,no,unknown,7,may,2,-1,0,unknown,no
54,technician,single,secondary,no,99,yes,no,unknown,7,may,3,-1,0,unknown,no
57,retired,divorced,secondary,no,8266,yes,no,unknown,7,may,1,-1,0,unknown,no
28,blue-collar,married,primary,no,-55,yes,no,unknown,7,may,2,-1,0,unknown,no
44,technician,married,secondary,no,-97,yes,no,unknown,7,may,3,-1,0,unknown,no
28,admin.,single,secondary,no,260,yes,no,unknown,7,may,2,-1,0,unknown,no
30,admin.,divorced,secondary,no,1,yes,no,unknown,8,may,5,-1,0,unknown,no
52,blue-collar,married,secondary,no,46,yes,no,unknown,8,may,1,-1,0,unknown,no
41,technician,married,unknown,no,254,yes,no,unknown,8,may,1,-1,0,unknown,no
43,blue-collar,married,secondary,no,0,yes,no,unknown,8,may,1,-1,0,unknown,no
36,admin.,married,secondary,no,114,yes,yes,unknown,8,may,1,-1,0,unknown,no
35,management,single,tertiary,no,797,yes,no,unknown,8,may,1,-1,0,unknown,no
54,services,married,secondary,no,841,yes,no,unknown,8,may,4,-1,0,unknown,no
33,services,married,secondary,no,804,yes,yes,unknown,8,may,1,-1,0,unknown,no
50,services,divorced,secondary,no,145,yes,no,unknown,8,may,1,-1,0,unknown,no
33,admin.,divorced,secondary,no,140,yes,no,unknown,8,may,1,-1,0,unknown,no
28,self-employed,married,tertiary,no,120,yes,yes,unknown,8,may,3,-1,0,unknown,no
36,services,divorced,secondary,no,241,yes,no,unknown,8,may,1,-1,0,unknown,no
34,blue-collar,married,secondary,no,67,yes,yes,unknown,8,may,3,-1,0,unknown,no
41,management,single,tertiary,no,572,yes,no,unknown,8,may,2,-1,0,unknown,no
50,blue-collar,married,primary,no,749,no,no,unknown,8,may,2,-1,0,unknown,no
44,management,divorced,tertiary,no,3932,yes,no,unknown,8,may,2,-1,0,unknown,no
52,management,divorced,secondary,no,123,no,no,unknown,8,may,2,-1,0,unknown,no
53,blue-collar,divorced,secondary,no,145,yes,no,unknown,8,may,1,-1,0,unknown,no
40,services,married,primary,no,332,yes,no,unknown,8,may,1,-1,0,unknown,no
32,blue-collar,married,secondary,no,536,yes,no,unknown,9,may,2,-1,0,unknown,no
30,blue-collar,married,primary,no,265,yes,yes,unknown,9,may,1,-1,0,unknown,no
32,blue-collar,married,secondary,no,687,yes,no,unknown,9,may,1,-1,0,unknown,no
41,unemployed,married,secondary,no,121,yes,no,unknown,9,may,2,-1,0,unknown,no
34,blue-collar,married,secondary,no,286,yes,no,unknown,9,may,2,-1,0,unknown,no
27,technician,divorced,secondary,no,114,yes,yes,unknown,9,may,2,-1,0,unknown,no
34,blue-collar,married,secondary,no,457,yes,no,unknown,9,may,1,-1,0,unknown,no
29,blue-collar,married,primary,yes,-43,yes,no,unknown,9,may,1,-1,0,unknown,no
39,blue-collar,single,secondary,no,217,yes,no,unknown,9,may,1,-1,0,unknown,no
28,technician,single,tertiary,no,2269,yes,no,unknown,9,may,1,-1,0,unknown,no
43,admin.,married,secondary,no,616,yes,no,unknown,9,may,2,-1,0,unknown,no
32,blue-collar,single,secondary,no,-578,no,no,unknown,9,may,1,-1,0,unknown,no
32,blue-collar,single,secondary,no,160,yes,no,unknown,9,may,1,-1,0,unknown,no
27,blue-collar,single,secondary,no,45,yes,no,unknown,9,may,1,-1,0,unknown,no
49,housemaid,divorced,primary,no,164,yes,no,unknown,9,may,5,-1,0,unknown,no
46,entrepreneur,married,unknown,no,242,yes,no,unknown,9,may,2,-1,0,unknown,no
35,management,single,secondary,no,6809,yes,no,unknown,9,may,7,-1,0,unknown,no
36,blue-collar,married,secondary,no,198,yes,no,unknown,9,may,2,-1,0,unknown,no
33,blue-collar,married,primary,no,191,yes,no,unknown,9,may,2,-1,0,unknown,no
34,admin.,single,secondary,no,391,yes,no,unknown,9,may,2,-1,0,unknown,no
40,management,married,tertiary,no,4190,no,no,unknown,9,may,4,-1,0,unknown,no
53,management,married,tertiary,no,913,yes,no,unknown,9,may,4,-1,0,unknown,no
33,technician,married,secondary,no,0,yes,yes,unknown,9,may,2,-1,0,unknown,no
56,management,single,tertiary,no,4542,no,no,unknown,12,may,2,-1,0,unknown,no
56,blue-collar,married,secondary,no,172,yes,no,unknown,12,may,5,-1,0,unknown,no
49,management,divorced,tertiary,yes,0,yes,no,unknown,12,may,2,-1,0,unknown,no
28,admin.,married,secondary,no,-201,yes,no,unknown,12,may,4,-1,0,unknown,no
59,blue-collar,divorced,primary,no,220,yes,no,unknown,12,may,1,-1,0,unknown,no
35,management,single,tertiary,no,561,yes,no,unknown,12,may,3,-1,0,unknown,no
30,blue-collar,single,unknown,yes,-149,yes,yes,unknown,12,may,3,-1,0,unknown,no
52,services,divorced,primary,no,111,yes,no,unknown,12,may,2,-1,0,unknown,no
26,blue-collar,single,secondary,no,199,yes,yes,unknown,12,may,1,-1,0,unknown,no
26,technician,married,tertiary,no,450,yes,yes,unknown,12,may,1,-1,0,unknown,no
29,unemployed,married,secondary,no,380,no,yes,unknown,12,may,2,-1,0,unknown,no
54,entrepreneur,divorced,secondary,no,104,yes,no,unknown,12,may,1,-1,0,unknown,no
30,management,divorced,secondary,no,37,no,no,unknown,12,may,2,-1,0,unknown,no
36,entrepreneur,married,primary,no,177,yes,no,unknown,12,may,5,-1,0,unknown,no
22,blue-collar,single,primary,no,-168,yes,no,unknown,13,may,3,-1,0,unknown,no
34,services,single,secondary,no,23,no,no,unknown,13,may,1,-1,0,unknown,no
31,management,married,tertiary,no,334,yes,no,unknown,13,may,1,-1,0,unknown,no
24,technician,single,secondary,no,-126,yes,yes,unknown,13,may,2,-1,0,unknown,no
32,technician,married,primary,no,62,yes,yes,unknown,13,may,1,-1,0,unknown,no
20,blue-collar,single,secondary,no,129,yes,yes,unknown,13,may,1,-1,0,unknown,no
29,self-employed,single,tertiary,no,-114,yes,no,unknown,13,may,1,-1,0,unknown,no
26,technician,married,tertiary,no,3825,yes,no,unknown,13,may,1,-1,0,unknown,no
58,technician,married,secondary,no,7495,yes,no,unknown,13,may,1,-1,0,unknown,no
32,technician,married,tertiary,no,463,yes,no,unknown,13,may,2,-1,0,unknown,no
30,blue-collar,married,secondary,no,-166,yes,yes,unknown,13,may,5,-1,0,unknown,no
44,blue-collar,married,primary,no,23,yes,no,unknown,13,may,1,-1,0,unknown,no
49,management,married,tertiary,no,400,yes,no,unknown,13,may,1,-1,0,unknown,no
52,admin.,divorced,secondary,no,131,yes,yes,unknown,13,may,1,-1,0,unknown,no
46,admin.,single,secondary,no,751,yes,no,unknown,13,may,2,-1,0,unknown,no
31,blue-collar,married,primary,no,81,yes,no,unknown,13,may,4,-1,0,unknown,no
46,blue-collar,married,primary,no,0,yes,no,unknown,13,may,3,-1,0,unknown,no
38,admin.,single,unknown,no,446,yes,no,unknown,13,may,1,-1,0,unknown,no
34,blue-collar,married,secondary,no,-100,yes,no,unknown,13,may,9,-1,0,unknown,no
38,blue-collar,married,primary,no,0,no,no,unknown,13,may,2,-1,0,unknown,no
33,blue-collar,married,tertiary,no,221,yes,no,unknown,13,may,7,-1,0,unknown,no
40,technician,married,primary,no,819,yes,no,unknown,13,may,3,-1,0,unknown,no
38,management,married,tertiary,no,258,yes,no,unknown,13,may,3,-1,0,unknown,no
25,services,single,secondary,yes,57,yes,yes,unknown,13,may,5,-1,0,unknown,no
48,entrepreneur,married,unknown,no,2550,yes,no,unknown,14,may,3,-1,0,unknown,no
42,management,married,tertiary,no,877,yes,no,unknown,14,may,1,-1,0,unknown,no
46,blue-collar,single,secondary,no,2401,yes,no,unknown,14,may,2,-1,0,unknown,no
59,blue-collar,married,primary,no,259,yes,yes,unknown,14,may,2,-1,0,unknown,no
37,blue-collar,married,secondary,no,15801,yes,no,unknown,14,may,9,-1,0,unknown,no
45,entrepreneur,married,primary,no,2418,yes,no,unknown,14,may,1,-1,0,unknown,no
42,blue-collar,married,secondary,no,3,yes,no,unknown,14,may,1,-1,0,unknown,no
41,admin.,married,secondary,no,3634,yes,no,unknown,14,may,1,-1,0,unknown,no
34,blue-collar,married,primary,no,357,yes,no,unknown,14,may,2,-1,0,unknown,no
28,blue-collar,married,secondary,no,1238,yes,no,unknown,14,may,1,-1,0,unknown,no
45,entrepreneur,single,tertiary,no,1410,yes,no,unknown,14,may,8,-1,0,unknown,no
50,blue-collar,married,secondary,no,606,yes,no,unknown,14,may,2,-1,0,unknown,no
34,self-employed,single,tertiary,no,2800,yes,no,unknown,14,may,1,-1,0,unknown,no
47,services,married,secondary,no,1549,yes,no,unknown,14,may,6,-1,0,unknown,no
41,blue-collar,married,primary,no,410,yes,no,unknown,14,may,4,-1,0,unknown,no
43,services,divorced,secondary,no,206,yes,no,unknown,14,may,1,-1,0,unknown,no
45,entrepreneur,married,secondary,no,245,yes,no,unknown,14,may,3,-1,0,unknown,no
51,admin.,married,primary,no,1330,yes,no,unknown,15,may,8,-1,0,unknown,no
47,management,married,primary,no,52,yes,yes,unknown,15,may,1,-1,0,unknown,no
44,blue-collar,single,primary,no,116,yes,no,unknown,15,may,1,-1,0,unknown,no
44,blue-collar,married,unknown,no,146,yes,no,unknown,15,may,1,-1,0,unknown,yes
57,entrepreneur,married,secondary,no,1037,yes,yes,unknown,15,may,1,-1,0,unknown,no
45,services,married,secondary,no,9077,yes,no,unknown,15,may,1,-1,0,unknown,no
60,retired,married,secondary,no,0,yes,no,unknown,15,may,1,-1,0,unknown,no
60,retired,married,secondary,no,-208,yes,no,unknown,15,may,1,-1,0,unknown,no
28,student,single,secondary,no,0,yes,no,unknown,15,may,3,-1,0,unknown,no
58,management,divorced,tertiary,no,577,no,no,unknown,15,may,3,-1,0,unknown,no
25,management,single,tertiary,no,6,yes,yes,unknown,15,may,1,-1,0,unknown,no
47,blue-collar,married,primary,no,0,yes,no,unknown,15,may,1,-1,0,unknown,no
40,management,single,tertiary,no,157,yes,no,unknown,15,may,2,-1,0,unknown,no
47,blue-collar,married,secondary,no,3237,yes,no,unknown,15,may,3,-1,0,unknown,no
35,blue-collar,single,primary,no,1215,yes,no,unknown,15,may,1,-1,0,unknown,no
41,services,single,secondary,no,323,yes,no,unknown,15,may,6,-1,0,unknown,no
56,housemaid,divorced,secondary,no,0,no,no,unknown,15,may,1,-1,0,unknown,no
41,blue-collar,married,secondary,no,59,yes,no,unknown,15,may,8,-1,0,unknown,no
42,blue-collar,married,primary,no,1320,no,no,unknown,15,may,4,-1,0,unknown,no
48,entrepreneur,married,primary,no,3705,yes,no,unknown,15,may,2,-1,0,unknown,no
23,services,single,secondary,no,75,yes,no,unknown,15,may,4,-1,0,unknown,no
39,blue-collar,single,primary,no,-21,no,no,unknown,15,may,3,-1,0,unknown,no
43,management,single,secondary,no,-228,yes,yes,unknown,16,may,2,-1,0,unknown,no
45,technician,married,secondary,no,999,yes,no,unknown,16,may,2,-1,0,unknown,no
40,services,married,secondary,no,446,yes,no,unknown,16,may,1,-1,0,unknown,yes
29,blue-collar,married,secondary,no,832,yes,no,unknown,16,may,2,-1,0,unknown,no
31,services,married,secondary,no,5,yes,no,unknown,16,may,1,-1,0,unknown,no
51,blue-collar,married,primary,no,196,yes,no,unknown,16,may,1,-1,0,unknown,no
32,services,divorced,secondary,no,-115,yes,no,unknown,16,may,1,-1,0,unknown,no
29,services,single,secondary,no,-142,yes,no,unknown,16,may,1,-1,0,unknown,no
33,blue-collar,divorced,secondary,no,-131,yes,no,unknown,16,may,1,-1,0,unknown,no
30,admin.,married,secondary,no,40,yes,yes,unknown,16,may,2,-1,0,unknown,no
37,blue-collar,single,primary,no,117,yes,no,unknown,16,may,3,-1,0,unknown,no
23,admin.,single,secondary,no,178,yes,no,unknown,16,may,1,-1,0,unknown,no
27,blue-collar,single,primary,no,0,yes,no,unknown,16,may,1,-1,0,unknown,no
56,retired,married,unknown,no,4391,yes,no,unknown,16,may,1,-1,0,unknown,no
60,management,married,tertiary,no,36,yes,no,unknown,16,may,3,-1,0,unknown,no
29,services,married,tertiary,no,62,yes,yes,unknown,16,may,2,-1,0,unknown,no
28,blue-collar,single,secondary,no,1112,yes,no,unknown,16,may,2,-1,0,unknown,no
44,blue-collar,married,primary,no,195,yes,no,unknown,16,may,5,-1,0,unknown,no
27,admin.,single,unknown,no,56,yes,no,unknown,16,may,2,-1,0,unknown,no
53,technician,divorced,secondary,no,751,yes,no,unknown,16,may,4,-1,0,unknown,no
46,services,married,secondary,no,271,yes,no,unknown,16,may,4,-1,0,unknown,no
56,blue-collar,married,unknown,no,22,yes,no,unknown,16,may,7,-1,0,unknown,no
41,admin.,single,secondary,no,1020,yes,no,unknown,19,may,1,-1,0,unknown,yes
59,blue-collar,divorced,primary,no,457,yes,no,unknown,19,may,1,-1,0,unknown,no
28,student,single,tertiary,no,80,yes,no,unknown,19,may,1,-1,0,unknown,no
38,services,single,secondary,no,36,yes,no,unknown,19,may,1,-1,0,unknown,no
41,services,single,secondary,no,197,yes,no,unknown,19,may,1,-1,0,unknown,no
32,services,married,secondary,no,144,yes,no,unknown,19,may,11,-1,0,unknown,no
34,services,married,secondary,no,0,yes,no,unknown,19,may,4,-1,0,unknown,no
41,admin.,married,secondary,no,3855,yes,no,unknown,19,may,2,-1,0,unknown,no
32,blue-collar,single,secondary,no,476,yes,yes,unknown,19,may,2,-1,0,unknown,no
50,blue-collar,married,secondary,no,170,yes,yes,unknown,19,may,13,-1,0,unknown,no
45,management,married,tertiary,no,199,no,no,unknown,19,may,5,-1,0,unknown,no
32,management,divorced,tertiary,no,312,yes,yes,unknown,19,may,3,-1,0,unknown,no
37,blue-collar,married,primary,no,53,yes,no,unknown,19,may,4,-1,0,unknown,no
35,blue-collar,married,secondary,no,499,yes,no,unknown,20,may,1,-1,0,unknown,no
35,blue-collar,married,primary,no,102,yes,no,unknown,20,may,1,-1,0,unknown,yes
38,self-employed,married,secondary,no,736,yes,no,unknown,20,may,1,-1,0,unknown,no
34,blue-collar,married,secondary,no,4622,yes,yes,unknown,20,may,1,-1,0,unknown,no
33,technician,married,secondary,no,603,yes,no,unknown,20,may,1,-1,0,unknown,no
37,admin.,married,secondary,no,1283,yes,no,unknown,20,may,1,-1,0,unknown,no
33,technician,single,secondary,no,1769,yes,no,unknown,20,may,1,-1,0,unknown,no
35,blue-collar,married,secondary,no,2054,yes,no,unknown,20,may,1,-1,0,unknown,no
33,blue-collar,married,secondary,no,-53,yes,no,unknown,20,may,1,-1,0,unknown,no
32,blue-collar,married,primary,no,206,yes,no,unknown,20,may,2,-1,0,unknown,no
30,management,single,tertiary,no,18,no,no,unknown,20,may,11,-1,0,unknown,no
36,management,single,secondary,no,360,yes,no,unknown,20,may,1,-1,0,unknown,no
30,management,married,tertiary,no,859,yes,no,unknown,20,may,3,-1,0,unknown,no
36,blue-collar,married,secondary,no,1797,yes,yes,unknown,20,may,2,-1,0,unknown,no
31,blue-collar,married,primary,no,26,yes,no,unknown,20,may,26,-1,0,unknown,no
32,blue-collar,married,secondary,no,2366,yes,no,unknown,20,may,2,-1,0,unknown,no
32,services,divorced,tertiary,no,376,yes,no,unknown,20,may,2,-1,0,unknown,no
31,blue-collar,married,secondary,no,897,yes,no,unknown,20,may,2,-1,0,unknown,no
34,blue-collar,married,unknown,no,1117,yes,no,unknown,20,may,1,-1,0,unknown,no
60,blue-collar,married,primary,no,674,yes,no,unknown,20,may,4,-1,0,unknown,no
39,blue-collar,married,primary,no,-197,yes,no,unknown,20,may,2,-1,0,unknown,no
39,blue-collar,married,primary,no,1966,yes,no,unknown,21,may,1,-1,0,unknown,no
33,services,married,tertiary,no,1349,yes,no,unknown,21,may,1,-1,0,unknown,no
42,blue-collar,married,primary,no,714,yes,no,unknown,21,may,28,-1,0,unknown,no
34,management,divorced,tertiary,no,5754,yes,no,unknown,21,may,1,-1,0,unknown,no
39,blue-collar,married,primary,no,4146,yes,yes,unknown,21,may,1,-1,0,unknown,no
31,management,married,secondary,no,8629,yes,no,unknown,21,may,2,-1,0,unknown,no
32,technician,married,secondary,no,791,yes,no,unknown,21,may,2,-1,0,unknown,yes
26,blue-collar,married,primary,no,0,yes,no,unknown,21,may,1,-1,0,unknown,no
37,entrepreneur,married,tertiary,no,1110,yes,no,unknown,21,may,2,-1,0,unknown,no
23,blue-collar,single,secondary,no,9,yes,no,unknown,21,may,1,-1,0,unknown,no
33,admin.,married,secondary,no,2228,yes,no,unknown,21,may,1,-1,0,unknown,no
36,management,married,tertiary,no,502,yes,no,unknown,21,may,1,-1,0,unknown,no
37,self-employed,married,tertiary,no,2084,yes,no,unknown,21,may,2,-1,0,unknown,no
58,entrepreneur,married,tertiary,no,7198,yes,no,unknown,21,may,5,-1,0,unknown,no
32,services,single,secondary,no,-198,yes,no,unknown,21,may,3,-1,0,unknown,yes
28,blue-collar,married,secondary,no,-114,yes,no,unknown,21,may,2,-1,0,unknown,no
35,blue-collar,married,primary,no,1176,yes,no,unknown,21,may,2,-1,0,unknown,no
27,admin.,single,secondary,no,392,yes,yes,unknown,21,may,2,-1,0,unknown,no
33,services,married,secondary,no,881,yes,no,unknown,21,may,5,-1,0,unknown,no
33,technician,single,tertiary,no,8874,no,yes,unknown,21,may,3,-1,0,unknown,no
32,technician,married,secondary,no,4174,yes,no,unknown,21,may,2,-1,0,unknown,no
31,technician,single,tertiary,no,1710,yes,no,unknown,23,may,1,-1,0,unknown,no
32,management,married,tertiary,no,2737,yes,yes,unknown,23,may,1,-1,0,unknown,no
35,technician,single,secondary,no,11423,yes,no,unknown,23,may,1,-1,0,unknown,no
33,entrepreneur,married,primary,no,237,yes,no,unknown,23,may,1,-1,0,unknown,no
37,technician,married,secondary,no,0,yes,no,unknown,23,may,6,-1,0,unknown,no
30,blue-collar,married,primary,no,597,yes,no,unknown,23,may,1,-1,0,unknown,no
34,admin.,single,secondary,no,5547,yes,no,unknown,23,may,1,-1,0,unknown,no
32,services,married,secondary,no,207,yes,no,unknown,23,may,1,-1,0,unknown,no
22,blue-collar,single,secondary,no,0,yes,no,unknown,23,may,2,-1,0,unknown,no
42,services,married,primary,no,2557,yes,no,unknown,23,may,3,-1,0,unknown,no
28,services,married,secondary,no,2114,no,yes,unknown,23,may,1,-1,0,unknown,no
55,technician,married,tertiary,no,440,no,no,unknown,23,may,1,-1,0,unknown,no
44,admin.,married,unknown,no,-299,yes,no,unknown,23,may,1,-1,0,unknown,no
30,services,married,secondary,no,-108,yes,no,unknown,23,may,1,-1,0,unknown,no
31,blue-collar,single,secondary,no,1358,yes,yes,unknown,23,may,2,-1,0,unknown,no
32,blue-collar,single,secondary,no,1342,yes,no,unknown,23,may,2,-1,0,unknown,no
43,blue-collar,married,secondary,no,-141,yes,yes,unknown,23,may,1,-1,0,unknown,no
35,blue-collar,married,secondary,no,154,yes,no,unknown,23,may,4,-1,0,unknown,no
31,management,single,tertiary,no,357,yes,no,unknown,23,may,3,-1,0,unknown,no
32,blue-collar,married,secondary,no,3144,yes,no,unknown,23,may,2,-1,0,unknown,no
33,management,divorced,tertiary,no,471,no,no,unknown,23,may,4,-1,0,unknown,no
26,technician,single,secondary,no,-211,yes,no,unknown,23,may,3,-1,0,unknown,no
60,retired,divorced,secondary,no,1718,yes,no,unknown,26,may,6,-1,0,unknown,no
58,retired,married,secondary,no,674,yes,no,unknown,26,may,1,-1,0,unknown,no
37,technician,married,secondary,no,-796,yes,yes,unknown,26,may,1,-1,0,unknown,no
56,blue-collar,married,primary,no,-85,yes,yes,unknown,26,may,1,-1,0,unknown,no
37,blue-collar,married,primary,no,0,yes,no,unknown,26,may,1,-1,0,unknown,no
53,management,married,secondary,no,1925,yes,no,unknown,26,may,1,-1,0,unknown,no
37,admin.,married,secondary,no,-255,yes,no,unknown,26,may,2,-1,0,unknown,no
34,blue-collar,married,secondary,no,-563,yes,no,unknown,26,may,1,-1,0,unknown,no
31,management,single,tertiary,no,682,yes,no,unknown,26,may,5,-1,0,unknown,no
28,management,single,tertiary,no,7544,yes,no,unknown,26,may,1,-1,0,unknown,no
50,blue-collar,married,primary,no,14,yes,yes,unknown,26,may,1,-1,0,unknown,no
33,management,single,secondary,no,-424,yes,no,unknown,26,may,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,-110,yes,no,unknown,26,may,1,-1,0,unknown,no
26,blue-collar,single,secondary,no,381,yes,no,unknown,26,may,2,-1,0,unknown,no
49,admin.,divorced,secondary,no,283,yes,no,unknown,26,may,2,-1,0,unknown,no
43,blue-collar,married,primary,no,-93,yes,no,unknown,26,may,2,-1,0,unknown,no
38,unemployed,married,tertiary,no,1449,no,no,unknown,26,may,6,-1,0,unknown,no
48,blue-collar,married,secondary,no,2697,yes,yes,unknown,26,may,5,-1,0,unknown,no
28,technician,single,secondary,no,576,yes,yes,unknown,26,may,4,-1,0,unknown,no
49,management,married,secondary,no,6758,yes,yes,unknown,27,may,3,-1,0,unknown,no
38,blue-collar,married,primary,no,27,yes,no,unknown,27,may,4,-1,0,unknown,no
30,admin.,married,tertiary,no,612,yes,no,unknown,27,may,6,-1,0,unknown,no
36,management,married,tertiary,no,293,yes,no,unknown,27,may,4,-1,0,unknown,no
34,blue-collar,married,primary,no,-106,yes,no,unknown,27,may,1,-1,0,unknown,no
31,technician,married,secondary,no,169,yes,no,unknown,27,may,1,-1,0,unknown,no
31,admin.,single,secondary,no,4388,yes,no,unknown,27,may,2,-1,0,unknown,no
32,admin.,single,secondary,no,146,no,no,unknown,27,may,10,-1,0,unknown,no
22,technician,single,secondary,no,356,yes,no,unknown,27,may,2,-1,0,unknown,no
35,services,married,secondary,no,505,yes,yes,unknown,27,may,2,-1,0,unknown,no
34,blue-collar,single,secondary,no,1698,yes,no,unknown,27,may,7,-1,0,unknown,no
31,services,married,secondary,no,-704,yes,no,unknown,27,may,2,-1,0,unknown,no
32,admin.,single,secondary,no,13,yes,no,unknown,27,may,2,-1,0,unknown,no
31,blue-collar,married,secondary,no,66,no,no,unknown,27,may,1,-1,0,unknown,no
42,admin.,married,primary,no,1547,yes,yes,unknown,27,may,3,-1,0,unknown,no
29,self-employed,married,secondary,no,-76,yes,no,unknown,27,may,2,-1,0,unknown,no
28,technician,married,secondary,no,839,yes,no,unknown,27,may,2,-1,0,unknown,no
42,unemployed,married,secondary,no,-165,yes,yes,unknown,27,may,3,-1,0,unknown,no
46,management,married,tertiary,no,1285,yes,no,unknown,27,may,1,-1,0,unknown,no
24,services,married,tertiary,no,0,yes,no,unknown,27,may,1,-1,0,unknown,no
31,blue-collar,single,secondary,no,369,yes,yes,unknown,27,may,8,-1,0,unknown,no
45,unemployed,married,primary,no,180,yes,yes,unknown,27,may,2,-1,0,unknown,no
